KECAMATAN,balita_gizi_kurang__bb_u_,balita_pendek_tb_u_,balita_kurus__bb_tb_
Asemrowo,164,281,181
Benowo,93,79,100
Bubutan,166,256,102
Bulak,427,149,349
Dukuh Pakis,112,56,135
Gayungan,100,85,94
Genteng,80,88,87
Gubeng,118,167,148
Gunung Anyar,9,36,17
Jambangan,10,107,31
Karang Pilang,35,138,47
Kenjeran,677,657,456
Krembangan,200,404,170
Lakarsantri,129,135,117
Mulyorejo,75,113,54
Pabean Cantikan,86,179,73
Pakal,298,267,313
Rungkut,334,303,221
Sambikerep,176,302,140
Sawahan,486,452,428
Semampir,330,791,249
Simokerto,349,190,120
Sukolilo,123,143,130
Sukomanunggal,204,182,159
Tambaksari,358,226,330
Tandes,55,84,76
Tegalsari,254,109,262
Tenggilis,21,82,8
Wiyung,107,83,98
Wonocolo,210,174,183
Wonokromo,414,404,373
